100
86.835	-63.966
65.234	-6.998
63.495	-93.456
-74.684	-29.563
88.881	-61.583
58.797	30.518
25.841	-32.026
-30.634	32.469
-33.573	-80.075
83.424	39.53
-75.035	-73.81
-90.418	-26.847
-12.123	-3.069
32.016	-88.834
-42.763	36.754
-98.092	33.138
-15.698	-20.025
67.924	-1.842
36.431	57.451
-79.848	-17.439
-74.901	86.24
-35.685	94.862
-30.899	29.685
-54.157	29.359
9.446	-17.231
95.95	69.246
-33.164	-35.291
-35.247	-57.679
-30.616	-69.929
19.432	-61.434
88.253	89.613
56.84	98.056
-47.147	-56.362
-97.392	-15.371
57.561	-80.899
-7.46	67.52
30.767	62.752
89.872	-14.888
32.541	-96.944
20.344	57.278
-5.879	-2.117
27.226	-26.318
13.791	9.357
-65.837	57.161
93.859	76.333
-54.663	-38.054
73.981	-93.931
-59.519	23.362
-21.978	-35.699
4.068	7.646
75.995	-5.673
38.243	6.086
79.746	78.972
-88.711	99.975
33.427	38.201
42.115	37.091
-12.531	77.066
13.569	-18.457
66.94	22.91
-86.193	-54.781
-72.996	48.0
72.125	-31.166
82.405	-4.684
72.967	61.645
-3.664	-11.265
-50.121	-36.466
-97.552	-85.112
36.892	83.69
12.664	-47.073
-61.062	-2.966
-44.843	-30.371
13.397	-29.635
-64.098	75.693
39.201	85.758
-13.761	56.901
-27.282	50.708
46.734	-45.179
39.919	37.139
-47.705	-67.158
-68.133	-11.604
81.809	-94.587
44.295	89.841
65.629	-59.636
58.511	-82.161
-68.306	-89.186
-28.125	-47.547
-22.202	-50.0
-15.462	50.283
48.732	28.69
-83.295	-41.791
-58.481	83.496
-40.688	-28.437
76.948	47.305
46.132	-11.903
15.054	-22.511
69.409	-83.493
-34.242	35.0
58.325	67.594
92.423	46.057
90.117	-43.83
